Original Token,Shuffled TOken,Original Text,Shuffled Text,Probing Position,Probing_tokens
Ġyear,Ġwatching,"Input:the year selection 
Output:positive
Input:rank as one of the cleverest , most deceptively amusing comedies of the year 
Output:positive
Input:one oscar nomination for julianne moore this year 
Output:positive
Input:about an unruly adolescent boy who is yearning for adventure and a chance to prove his worth 
Output:positive
Input:the best film of the year 2002 
Output:positive
Input:the year 's greatest adventure , and jackson 's limited but enthusiastic adaptation has made literature literal without killing its soul -- a feat any thinking person is bound to appreciate 
Output:positive
Input:far the worst movie of the year 
Output:negative
Input:of the best movies of the year 
Output:positive
Input:to think of a film more cloyingly sappy than evelyn this year 
Output:negative
Input:pressed to think of a film more cloyingly sappy than evelyn this year 
Output:negative
Input:forget about one oscar nomination for julianne moore this year 
Output:negative
Input:in such a lousy way , complete with some of the year 's ( unintentionally ) funniest moments , that it 's impossible to care 
Output:negative
Input:'s unlikely we 'll see a better thriller this year 
Output:positive
Input:'ll see a better thriller this year 
Output:negative
Input:could very well clinch him this year 's razzie 
Output:negative
","<|begin_of_text|>Input:the whose selection 
Output:positive
Input:rank as one of the cleverest, most deceptively amusing comedies of the another 
Output:positive
Input:one oscar nomination for julianne moore this shame 
Output:positive
Input:about an unruly adolescent boy who is importantning for adventure and a chance to prove his worth 
Output:positive
Input:the best film of the full 2002 
Output:positive
Input:the hours's greatest adventure, and jackson's limited but enthusiastic adaptation has made literature literal without killing its soul -- a feat any thinking person is bound to appreciate 
Output:positive
Input:far the worst movie of the def 
Output:negative
Input:of the best movies of the sm 
Output:positive
Input:to think of a film more cloyingly sappy than evelyn this ro 
Output:negative
Input:pressed to think of a film more cloyingly sappy than evelyn this ev 
Output:negative
Input:forget about one oscar nomination for julianne moore this premise 
Output:negative
Input:in such a lousy way, complete with some of the them's ( unintentionally ) funniest moments, that it's impossible to care 
Output:negative
Input:'s unlikely we 'll see a better thriller this which 
Output:positive
Input:'ll see a better thriller this these 
Output:negative
Input:could very well clinch him this it's razzie 
Output:negative
","[3, 29, 47, 63, 86, 98, 144, 158, 182, 207, 227, 247, 282, 296, 311]","['the', 'Ġthe', 'Ġthis', 'Ġis', 'Ġthe', 'the', 'Ġthe', 'Ġthe', 'Ġthis', 'Ġthis', 'Ġthis', 'Ġthe', 'Ġthis', 'Ġthis', 'Ġthis']"
Ġbelieve,Ġthe,"Input:... a complete shambles of a movie so sloppy , so uneven , so damn unpleasant that i ca n't believe any viewer , young or old , would have a good time here . 
Output:negative
Input:not quite as miraculous as its dreamworks makers would have you believe , but it more than adequately fills the eyes and stirs the emotions . 
Output:positive
Input:her presence succeeds in making us believe 
Output:positive
Input:( hayek ) throws herself into this dream hispanic role with a teeth-clenching gusto , she strikes a potent chemistry with molina and she gradually makes us believe she is kahlo 
Output:positive
Input:still to believe that anyone in his right mind would want to see the it 
Output:negative
Input:'s hard to believe that something so short could be so flabby 
Output:negative
Input:a scathing portrayal of a powerful entity strangling the life out of the people who want to believe in it the most 
Output:positive
Input:so sloppily written and cast that you can not believe anyone more central to the creation of bugsy than the caterer 
Output:negative
Input:find a scathing portrayal of a powerful entity strangling the life out of the people who want to believe in it the most 
Output:positive
Input:( has ) an immediacy and an intimacy that sucks you in and dares you not to believe it 
Output:positive
Input:it 's just hard to believe that a life like this can sound so dull . 
Output:negative
Input:if s&m seems like a strange route to true love , maybe it is , but it 's to this film 's ( and its makers ' ) credit that we believe that that 's exactly what these two people need to find each other -- and themselves 
Output:positive
Input:firmly believe that a good video game movie is going to show up soon . 
Output:positive
Input:to believe in it the most 
Output:positive
Input:the 2002 film does n't really believe in it , and breaks the mood with absurdly inappropriate ` comedy ' scenes . 
Output:negative
","<|begin_of_text|>Input:... a complete shambles of a movie so sloppy, so uneven, so damn unpleasant that i can't middle any viewer, young or old, would have a good time here. 
Output:negative
Input:not quite as miraculous as its dreamworks makers would have you thoughtful, but it more than adequately fills the eyes and stirs the emotions. 
Output:positive
Input:her presence succeeds in making us worse 
Output:positive
Input:( hayek ) throws herself into this dream hispanic role with a teeth-clenching gusto, she strikes a potent chemistry with molina and she gradually makes us its she is kahlo 
Output:positive
Input:still to sure that anyone in his right mind would want to see the it 
Output:negative
Input:'s hard to funny that something so short could be so flabby 
Output:negative
Input:a scathing portrayal of a powerful entity strangling the life out of the people who want to bad in it the most 
Output:positive
Input:so sloppily written and cast that you can not young anyone more central to the creation of bugsy than the caterer 
Output:negative
Input:find a scathing portrayal of a powerful entity strangling the life out of the people who want to looks in it the most 
Output:positive
Input:( has ) an immediacy and an intimacy that sucks you in and dares you not to some it 
Output:positive
Input:it's just hard to we that a life like this can sound so dull. 
Output:negative
Input:if s&m seems like a strange route to true love, maybe it is, but it's to this film's ( and its makers') credit that we by that that's exactly what these two people need to find each other -- and themselves 
Output:positive
Input:firmly her that a good video game movie is going to show up soon. 
Output:positive
Input:to filmmakers in it the most 
Output:positive
Input:the 2002 film doesn't really different in it, and breaks the mood with absurdly inappropriate ` comedy'scenes. 
Output:negative
","[25, 58, 87, 127, 141, 164, 199, 222, 263, 293, 308, 360, 387, 409, 430]","[""'t"", 'Ġyou', 'Ġus', 'Ġus', 'Ġto', 'Ġto', 'Ġto', 'Ġnot', 'Ġto', 'Ġto', 'Ġto', 'Ġwe', 'ly', 'to', 'Ġreally']"
Ġsee,Ġappealing,"Input:i ca n't wait to see what the director does next 
Output:positive
Input:the extra effort to see an artist , still committed to growth in his ninth decade , change while remaining true to his principles 
Output:positive
Input:still have to see this ! 
Output:positive
Input:anyone else who may , for whatever reason , be thinking about going to see this movie 
Output:negative
Input:the only thing i laughed at were the people who paid to see it . 
Output:negative
Input:a stirring tribute to the bravery and dedication of the world 's reporters who willingly walk into the nightmare of war not only to record the events for posterity , but to help us clearly see the world of our making . 
Output:positive
Input:see scratch for the music , see scratch for a lesson in scratching , but , most of all , see it for the passion . 
Output:positive
Input:'s nice to see piscopo again after all these years 
Output:positive
Input:be in a contest to see who can out-bad-act the other 
Output:negative
Input:you have an interest in the characters you see 
Output:positive
Input:can almost see mendes and company getting together before a single frame had been shot and collectively vowing , ` this is going to be something really good . 
Output:positive
Input:is we never really see her esther blossom as an actress , even though her talent is supposed to be growing 
Output:negative
Input:others , more attuned to the anarchist maxim that ` the urge to destroy is also a creative urge ' , or more willing to see with their own eyes , will find morrison 's iconoclastic uses of technology to be liberating . 
Output:positive
Input:a summer entertainment adults can see without feeling embarrassed 
Output:positive
Input:it would be great to see this turd squashed under a truck , preferably a semi . 
Output:negative
","<|begin_of_text|>Input:i can't wait to flick what the director does next 
Output:positive
Input:the extra effort to hours an artist, still committed to growth in his ninth decade, change while remaining true to his principles 
Output:positive
Input:still have to at this! 
Output:positive
Input:anyone else who may, for whatever reason, be thinking about going to actor this movie 
Output:negative
Input:the only thing i laughed at were the people who paid to being it. 
Output:negative
Input:a stirring tribute to the bravery and dedication of the world's reporters who willingly walk into the nightmare of war not only to record the events for posterity, but to help us clearly charm the world of our making. 
Output:positive
Input:see scratch for the music, view scratch for a lesson in scratching, but, most of all, into it for the passion. 
Output:positive
Input:'s nice to side piscopo again after all these years 
Output:positive
Input:be in a contest to eng who can out-bad-act the other 
Output:negative
Input:you have an interest in the characters you wit 
Output:positive
Input:can almost play mendes and company getting together before a single frame had been shot and collectively vowing, ` this is going to be something really good. 
Output:positive
Input:is we never really flick her esther blossom as an actress, even though her talent is supposed to be growing 
Output:negative
Input:others, more attuned to the anarchist maxim that ` the urge to destroy is also a creative urge ', or more willing to worth with their own eyes, will find morrison's iconoclastic uses of technology to be liberating. 
Output:positive
Input:a summer entertainment adults can it without feeling embarrassed 
Output:positive
Input:it would be great to see this turd squashed under a truck, preferably a semi. 
Output:negative
","[7, 24, 54, 78, 100, 146, 166, 180, 196, 216, 241, 251, 291, 342, 377]","['Ġto', 'Ġto', 'Ġto', 'Ġto', 'Ġto', 'Ġclearly', 'Ġ,', 'Ġ,', 'Ġto', 'Ġto', 'Ġyou', 'Ġalmost', 'Ġreally', 'Ġto', 'Ġcan']"
Ġsummer,Ġboring,"Input:the most excruciating 86 minutes one might sit through this summer that do not involve a dentist drill . 
Output:negative
Input:a summer of teen-driven , toilet-humor codswallop 
Output:negative
Input:, sets the tone for a summer of good stuff 
Output:positive
Input:an incongruous summer playoff 
Output:negative
Input:mindless yet impressively lean spinoff of last summer 's bloated effects fest the mummy returns . 
Output:positive
Input:self-important summer fluff 
Output:negative
Input:its plot may prove too convoluted for fun-seeking summer audiences 
Output:negative
Input:this wretchedly unfunny wannabe comedy is inane and awful - no doubt , it 's the worst movie i 've seen this summer 
Output:negative
Input:has taken quite a nosedive from alfred hitchcock 's imaginative flight to shyamalan 's self-important summer fluff 
Output:negative
Input:proves that not only blockbusters pollute the summer movie pool . 
Output:negative
Input:give a spark to `` chasing amy '' and `` changing lanes '' falls flat as thinking man cia agent jack ryan in this summer 's new action film , `` the sum of all fears 
Output:negative
Input:a summer entertainment adults can see without feeling embarrassed , but 
Output:positive
Input:the filmmakers ' post-camp comprehension of what made old-time b movies good-bad that makes eight legged freaks a perfectly entertaining summer diversion 
Output:positive
Input:has the thrown-together feel of a summer-camp talent show : hastily written , underrehearsed , arbitrarily plotted and filled with crude humor and vulgar innuendo 
Output:negative
Input:unfolds like a lazy summer afternoon and concludes with the crisp clarity of a fall dawn 
Output:positive
","<|begin_of_text|>Input:the most excruciating 86 minutes one might sit through this from that do not involve a dentist drill. 
Output:negative
Input:a art of teen-driven, toilet-humor codswallop 
Output:negative
Input:, sets the tone for a complex of good stuff 
Output:positive
Input:an incongruous n playoff 
Output:negative
Input:mindless yet impressively lean spinoff of last amusing's bloated effects fest the mummy returns. 
Output:positive
Input:self-important coming fluff 
Output:negative
Input:its plot may prove too convoluted for fun-seeking up audiences 
Output:negative
Input:this wretchedly unfunny wannabe comedy is inane and awful - no doubt, it's the worst movie i've seen this fresh 
Output:negative
Input:has taken quite a nosedive from alfred hitchcock's imaginative flight to shyamalan's self-important water fluff 
Output:negative
Input:proves that not only blockbusters pollute the solid movie pool. 
Output:negative
Input:give a spark to `` chasing amy '' and `` changing lanes '' falls flat as thinking man cia agent jack ryan in this live's new action film, `` the sum of all fears 
Output:negative
Input:a always entertainment adults can see without feeling embarrassed, but 
Output:positive
Input:the filmmakers'post-camp comprehension of what made old-time b movies good-bad that makes eight legged freaks a perfectly entertaining feature diversion 
Output:positive
Input:has the thrown-together feel of a emotional-camp talent show : hastily written, underrehearsed, arbitrarily plotted and filled with crude humor and vulgar innuendo 
Output:negative
Input:unfolds like a lazy wo afternoon and concludes with the crisp clarity of a fall dawn 
Output:positive
","[15, 31, 55, 70, 89, 109, 130, 167, 199, 219, 256, 276, 320, 337, 376]","['Ġthis', ':a', 'Ġa', 'uous', 'Ġlast', '-important', '-seeking', 'Ġthis', '-important', 'Ġthe', 'Ġthis', ':a', 'Ġentertaining', 'Ġa', 'Ġlazy']"
Ġvivid,Ġalmost,"Input:so vivid 
Output:positive
Input:done before but never so vividly 
Output:positive
Input:felt and vividly detailed story about newcomers in a strange new world 
Output:positive
Input:a compelling pre-wwii drama with vivid characters and a warm , moving message . 
Output:positive
Input:celebrates the group 's playful spark of nonconformity , glancing vividly back at what hibiscus grandly called his ` angels of light . 
Output:positive
Input:with an expressive face reminiscent of gong li and a vivid personality like zhang ziyi 's 
Output:positive
Input:a vivid , spicy footnote 
Output:positive
Input:the modern-day characters are nowhere near as vivid as the 19th-century ones . 
Output:negative
Input:demonstrates a vivid imagination and an impressive style that result in some terrific setpieces . 
Output:positive
Input:a vivid , spicy footnote to history , and a movie that grips and holds you in rapt attention from 
Output:positive
Input:( a ) devastatingly powerful and astonishingly vivid holocaust drama . 
Output:positive
Input:gets vivid performances from her cast and pulls off some deft ally mcbeal-style fantasy sequences . 
Output:positive
Input:is a gorgeous film - vivid with color , music and life . 
Output:positive
Input:a vivid imagination and an impressive style 
Output:positive
Input:a vivid , sometimes surreal , glimpse into the mysteries of human behavior . 
Output:positive
","<|begin_of_text|>Input:so looking 
Output:positive
Input:done before but never so brilliantly 
Output:positive
Input:felt and wely detailed story about newcomers in a strange new world 
Output:positive
Input:a compelling pre-wwii drama with before characters and a warm, moving message. 
Output:positive
Input:celebrates the group's playful spark of nonconformity, glancing tly back at what hibiscus grandly called his ` angels of light. 
Output:positive
Input:with an expressive face reminiscent of gong li and a fascinating personality like zhang ziyi's 
Output:positive
Input:a minutes, spicy footnote 
Output:positive
Input:the modern-day characters are nowhere near as seat as the 19th-century ones. 
Output:negative
Input:demonstrates a director imagination and an impressive style that result in some terrific setpieces. 
Output:positive
Input:a emotional, spicy footnote to history, and a movie that grips and holds you in rapt attention from 
Output:positive
Input:( a ) devastatingly powerful and astonishingly charming holocaust drama. 
Output:positive
Input:gets trying performances from her cast and pulls off some deft ally mcbeal-style fantasy sequences. 
Output:positive
Input:is a gorgeous film - thing with color, music and life. 
Output:positive
Input:a wit imagination and an impressive style 
Output:positive
Input:a opera, sometimes surreal, glimpse into the mysteries of human behavior. 
Output:positive
","[3, 16, 27, 52, 84, 120, 136, 155, 175, 196, 231, 244, 275, 290, 303]","['so', 'Ġso', 'Ġand', 'Ġwith', 'ancing', 'Ġa', ':a', 'Ġas', 'Ġa', ':a', 'ly', 'gets', 'Ġ-', ':a', ':a']"
Ġmaster,Ġafter,"Input:is masterful 
Output:positive
Input:this is beautiful filmmaking from one of french cinema 's master craftsmen . 
Output:positive
Input:the animation master 
Output:positive
Input:with or without the sex , a wonderful tale of love and destiny , told well by a master storyteller 
Output:positive
Input:diminishing his stature from oscar-winning master to lowly studio hack 
Output:negative
Input:works because of the ideal casting of the masterful british actor ian holm as the aged napoleon 
Output:positive
Input:as a masterfully made one 
Output:positive
Input:a class with spike lee 's masterful 
Output:positive
Input:putrid writing , direction and timing with a smile that says , ` if i stay positive , maybe i can channel one of my greatest pictures , drunken master 
Output:negative
Input:fontaine masterfully creates a portrait of two strong men in conflict , inextricably entwined through family history , each seeing himself in the other , neither liking what he sees . 
Output:positive
Input:satan is throwing up his hands in surrender , is firing his r&d people , and has decided he will just screen the master of disguise 24/7 . 
Output:negative
Input:predecessors the mummy and the mummy returns stand as intellectual masterpieces next to the scorpion king . 
Output:negative
Input:are masterfully controlled 
Output:positive
Input:stand as intellectual masterpieces 
Output:positive
Input:hong kong master john woo 
Output:positive
","<|begin_of_text|>Input:is shouldful 
Output:positive
Input:this is beautiful filmmaking from one of french cinema's pop craftsmen. 
Output:positive
Input:the animation j 
Output:positive
Input:with or without the sex, a wonderful tale of love and destiny, told well by a an storyteller 
Output:positive
Input:diminishing his stature from oscar-winning woman to lowly studio hack 
Output:negative
Input:works because of the ideal casting of the themselvesful british actor ian holm as the aged napoleon 
Output:positive
Input:as a jokesfully made one 
Output:positive
Input:a class with spike lee's perfectful 
Output:positive
Input:putrid writing, direction and timing with a smile that says, ` if i stay positive, maybe i can channel one of my greatest pictures, drunken tone 
Output:negative
Input:fontaine visualfully creates a portrait of two strong men in conflict, inextricably entwined through family history, each seeing himself in the other, neither liking what he sees. 
Output:positive
Input:satan is throwing up his hands in surrender, is firing his r&d people, and has decided he will just screen the b of disguise 24/7. 
Output:negative
Input:predecessors the mummy and the mummy returns stand as intellectual repieces next to the scorpion king. 
Output:negative
Input:are ofully controlled 
Output:positive
Input:stand as intellectual thepieces 
Output:positive
Input:hong kong formula john woo 
Output:positive
","[3, 23, 36, 62, 81, 102, 124, 141, 180, 190, 258, 287, 304, 317, 329]","['is', 's', 'Ġanimation', 'Ġa', '-winning', 'Ġthe', 'Ġa', 's', 'Ġdrunken', 'aine', 'Ġthe', 'Ġintellectual', 'are', 'Ġintellectual', 'ong']"
Ġlight,Ġface,"Input:the lightest , most breezy movie steven spielberg has made in more than a decade . 
Output:positive
Input:handled affair , a film about human darkness but etched with a light ( yet unsentimental ) touch 
Output:positive
Input:acts light on great scares and a good surprise ending . 
Output:positive
Input:for this sort of thing to work , we need agile performers , but the proficient , dull sorvino has no light touch , and rodan is out of his league . 
Output:negative
Input:like the english patient and the unbearable lightness of being 
Output:positive
Input:this ready-made midnight movie probably wo n't stand the cold light of day 
Output:negative
Input:curiously , he waters it down , turning grit and vulnerability into light reading 
Output:negative
Input:remains fairly light , always entertaining , and smartly written . 
Output:positive
Input:a light , engaging comedy that fumbles away almost all of its accumulated enjoyment with a crucial third act miscalculation . 
Output:negative
Input:thought i heard a mysterious voice , and felt myself powerfully drawn toward the light -- the light of the exit sign 
Output:negative
Input:this humbling little film , fueled by the light comedic work of zhao benshan and the delicate ways of dong jie , is just the sort for those moviegoers who complain that ` they do n't make movies like they used to anymore . ' 
Output:positive
Input:canada 's arctic light 
Output:positive
Input:busy urban comedy is clearly not zhang 's forte , his directorial touch is neither light nor magical enough to bring off this kind of whimsy . 
Output:negative
Input:it celebrates the group 's playful spark of nonconformity , glancing vividly back at what hibiscus grandly called his ` angels of light . ' 
Output:positive
Input:celebrates the group 's playful spark of nonconformity , glancing vividly back at what hibiscus grandly called his ` angels of light 
Output:positive
","<|begin_of_text|>Input:the creepyest, most breezy movie steven spielberg has made in more than a decade. 
Output:positive
Input:handled affair, a film about human darkness but etched with a something ( yet unsentimental ) touch 
Output:positive
Input:acts images on great scares and a good surprise ending. 
Output:positive
Input:for this sort of thing to work, we need agile performers, but the proficient, dull sorvino has no passion touch, and rodan is out of his league. 
Output:negative
Input:like the english patient and the unbearable awfulness of being 
Output:positive
Input:this ready-made midnight movie probably won't stand the cold attempt of day 
Output:negative
Input:curiously, he waters it down, turning grit and vulnerability into filmm reading 
Output:negative
Input:remains fairly often, always entertaining, and smartly written. 
Output:positive
Input:a talent, engaging comedy that fumbles away almost all of its accumulated enjoyment with a crucial third act miscalculation. 
Output:negative
Input:thought i heard a mysterious voice, and felt myself powerfully drawn toward the make -- the o of the exit sign 
Output:negative
Input:this humbling little film, fueled by the sad comedic work of zhao benshan and the delicate ways of dong jie, is just the sort for those moviegoers who complain that ` they don't make movies like they used to anymore.'
Output:positive
Input:canada's arctic series 
Output:positive
Input:busy urban comedy is clearly not zhang's forte, his directorial touch is neither dialogue nor magical enough to bring off this kind of whimsy. 
Output:negative
Input:it celebrates the group's playful spark of nonconformity, glancing vividly back at what hibiscus grandly called his ` angels of film.'
Output:positive
Input:celebrates the group's playful spark of nonconformity, glancing vividly back at what hibiscus grandly called his ` angels of light 
Output:positive
","[3, 42, 59, 99, 125, 147, 170, 182, 199, 245, 248, 268, 325, 351, 403]","['the', 'Ġa', 'acts', 'Ġno', 'Ġunbearable', 'Ġcold', 'Ġinto', 'Ġfairly', ':a', 'Ġthe', 'Ġthe', 'Ġthe', 'ctic', 'Ġneither', 'Ġof']"
Ġthree,Ġhistory,"Input:about one in three gags in white 's intermittently wise script hits its mark ; 
Output:negative
Input:satin rouge is not a new , or inventive , journey , but it 's encouraging to see a three-dimensional , average , middle-aged woman 's experience of self-discovery handled with such sensitivity 
Output:positive
Input:a sentimental but entirely irresistible portrait of three aging sisters . 
Output:positive
Input:the broiling sun for a good three days 
Output:negative
Input:awfully hard to buy the impetus for the complicated love triangle that develops between the three central characters 
Output:negative
Input:an interesting psychological game of cat-and-mouse , three-dimensional characters and believable performances all add up to a satisfying crime drama . 
Output:positive
Input:a film really has to be exceptional to justify a three hour running time , and this is n't 
Output:negative
Input:the powerful success of read my lips with such provocative material shows why , after only three films , director/co-writer jacques audiard , though little known in this country , belongs in the very top rank of french filmmakers . 
Output:positive
Input:would change the fact that what we have here is a load of clams left in the broiling sun for a good three days 
Output:negative
Input:barney 's ideas about creation and identity do n't really seem all that profound , at least by way of what can be gleaned from this three-hour endurance test built around an hour 's worth of actual material . 
Output:negative
Input:all three descriptions suit evelyn , a besotted and obvious drama that tells us nothing new 
Output:negative
Input:all three women deliver remarkable performances . 
Output:positive
Input:weaving themes among three strands which allow us to view events as if through a prism 
Output:positive
Input:confuses its message with an ultimate desire to please , and contorting itself into an idea of expectation is the last thing any of these three actresses , nor their characters , deserve . 
Output:negative
Input:on three short films and two features 
Output:positive
","<|begin_of_text|>Input:about one in written gags in white's intermittently wise script hits its mark ; 
Output:negative
Input:satin rouge is not a new, or inventive, journey, but it's encouraging to see a children-dimensional, average, middle-aged woman's experience of self-discovery handled with such sensitivity 
Output:positive
Input:a sentimental but entirely irresistible portrait of hero aging sisters. 
Output:positive
Input:the broiling sun for a good real days 
Output:negative
Input:awfully hard to buy the impetus for the complicated love triangle that develops between the his central characters 
Output:negative
Input:an interesting psychological game of cat-and-mouse, strong-dimensional characters and believable performances all add up to a satisfying crime drama. 
Output:positive
Input:a film really has to be exceptional to justify a mess hour running time, and this isn't 
Output:negative
Input:the powerful success of read my lips with such provocative material shows why, after only picture films, director/co-writer jacques audiard, though little known in this country, belongs in the very top rank of french filmmakers. 
Output:positive
Input:would change the fact that what we have here is a load of clams left in the broiling sun for a good above days 
Output:negative
Input:barney's ideas about creation and identity don't really seem all that profound, at least by way of what can be gleaned from this delightful-hour endurance test built around an hour's worth of actual material. 
Output:negative
Input:all time descriptions suit evelyn, a besotted and obvious drama that tells us nothing new 
Output:negative
Input:all sweet women deliver remarkable performances. 
Output:positive
Input:weaving themes among br strands which allow us to view events as if through a prism 
Output:positive
Input:confuses its message with an ultimate desire to please, and contorting itself into an idea of expectation is the last thing any of these gorgeous actresses, nor their characters, deserve. 
Output:negative
Input:on last short films and two features 
Output:positive
","[5, 47, 79, 97, 123, 143, 174, 207, 267, 306, 329, 355, 372, 419, 435]","['Ġin', 'Ġa', 'Ġof', 'Ġgood', 'Ġthe', 'Ġ,', 'Ġa', 'Ġonly', 'Ġgood', 'Ġthis', 'all', 'all', 'Ġamong', 'Ġthese', ':on']"
Ġwithout,Ġdead,"Input:fall together without much surprise 
Output:negative
Input:directs the pianist like a surgeon mends a broken heart ; very meticulously but without any passion . 
Output:negative
Input:is pretty funny now and then without in any way demeaning its subjects 
Output:positive
Input:works even without vulgarity , sex scenes , and cussing 
Output:positive
Input:a family-oriented non-disney film that is actually funny without hitting below the belt 
Output:positive
Input:the bourne identity should n't be half as entertaining as it is , but director doug liman and his colleagues have managed to pack it with enough action to satisfy the boom-bam crowd without a huge sacrifice of character and mood 
Output:positive
Input:like smoke signals , the film is also imbued with strong themes of familial ties and spirituality that are powerful and moving without stooping to base melodrama 
Output:positive
Input:manages to nail the spirit-crushing ennui of denuded urban living without giving in to it . 
Output:positive
Input:impart a message without bludgeoning the audience over the head 
Output:positive
Input:often looks like an episode of the tv show blind date , only less technically proficient and without the pop-up comments . 
Output:negative
Input:it does so without compromising that complexity . 
Output:positive
Input:have managed to pack it with enough action to satisfy the boom-bam crowd without a huge sacrifice of character and mood 
Output:positive
Input:lasker 's canny , meditative script distances sex and love , as byron and luther ... realize they ca n't get no satisfaction without the latter . 
Output:positive
Input:pack it with enough action to satisfy the boom-bam crowd without a huge sacrifice of character and mood 
Output:positive
Input:are powerful and moving without stooping to base melodrama 
Output:positive
","<|begin_of_text|>Input:fall together right much surprise 
Output:negative
Input:directs the pianist like a surgeon mends a broken heart ; very meticulously but g any passion. 
Output:negative
Input:is pretty funny now and then another in any way demeaning its subjects 
Output:positive
Input:works even work vulgarity, sex scenes, and cussing 
Output:positive
Input:a family-oriented non-disney film that is actually funny new hitting below the belt 
Output:positive
Input:the bourne identity shouldn't be half as entertaining as it is, but director doug liman and his colleagues have managed to pack it with enough action to satisfy the boom-bam crowd brilliant a huge sacrifice of character and mood 
Output:positive
Input:like smoke signals, the film is also imbued with strong themes of familial ties and spirituality that are powerful and moving viewers stooping to base melodrama 
Output:positive
Input:manages to nail the spirit-crushing ennui of denuded urban living forget giving in to it. 
Output:positive
Input:impart a message quite bludgeoning the audience over the head 
Output:positive
Input:often looks like an episode of the tv show blind date, only less technically proficient and o the pop-up comments. 
Output:negative
Input:it does so cinema compromising that complexity. 
Output:positive
Input:have managed to pack it with enough action to satisfy the boom-bam crowd women a huge sacrifice of character and mood 
Output:positive
Input:lasker's canny, meditative script distances sex and love, as byron and luther... realize they can't get no satisfaction beautiful the latter. 
Output:positive
Input:pack it with enough action to satisfy the boom-bam crowd rather a huge sacrifice of character and mood 
Output:positive
Input:are powerful and moving can stooping to base melodrama 
Output:positive
","[4, 31, 48, 65, 94, 145, 183, 212, 229, 262, 278, 305, 350, 373, 392]","['Ġtogether', 'Ġbut', 'Ġthen', 'Ġeven', 'Ġfunny', 'Ġcrowd', 'Ġmoving', 'Ġliving', 'Ġmessage', 'Ġand', 'Ġso', 'Ġcrowd', 'Ġsatisfaction', 'Ġcrowd', 'Ġmoving']"
Ġconcept,Ġaround,"Input:is so insanely dysfunctional that the rampantly designed equilibrium becomes a concept doofus 
Output:negative
Input:scotland , pa is entirely too straight-faced to transcend its clever concept . 
Output:negative
Input:original in its base concept that you can not help but get caught up . 
Output:positive
Input:its clever concept 
Output:positive
Input:if ever such a dependable concept was botched in execution 
Output:negative
Input:the rampantly designed equilibrium becomes a concept doofus 
Output:negative
Input:eccentricities that are attached to the concept of loss 
Output:positive
Input:never rises to its clever what-if concept . 
Output:negative
Input:the idea of narrative logic or cohesion is an entirely foreign concept 
Output:negative
Input:to take an entirely stale concept and push it through the audience 's meat grinder one more time 
Output:negative
Input:is an entirely foreign concept 
Output:negative
Input:appears to have been made by people to whom the idea of narrative logic or cohesion is an entirely foreign concept 
Output:negative
Input:about the only thing to give the movie points for is bravado -- to take an entirely stale concept and push it through the audience 's meat grinder one more time . 
Output:negative
Input:capitalizes on this concept and opts for the breezy and amateurish feel of an after school special on the subject of tolerance . 
Output:negative
Input:ever such a dependable concept was botched in execution 
Output:negative
","<|begin_of_text|>Input:is so insanely dysfunctional that the rampantly designed equilibrium becomes a sort doofus 
Output:negative
Input:scotland, pa is entirely too straight-faced to transcend its clever personal. 
Output:negative
Input:original in its base ste that you can not help but get caught up. 
Output:positive
Input:its clever absurd 
Output:positive
Input:if ever such a dependable dis was botched in execution 
Output:negative
Input:the rampantly designed equilibrium becomes a also doofus 
Output:negative
Input:eccentricities that are attached to the real of loss 
Output:positive
Input:never rises to its clever what-if soap. 
Output:negative
Input:the idea of narrative logic or cohesion is an entirely foreign john 
Output:negative
Input:to take an entirely stale her and push it through the audience's meat grinder one more time 
Output:negative
Input:is an entirely foreign heart 
Output:negative
Input:appears to have been made by people to whom the idea of narrative logic or cohesion is an entirely foreign makes 
Output:negative
Input:about the only thing to give the movie points for is bravado -- to take an entirely stale act and push it through the audience's meat grinder one more time. 
Output:negative
Input:capitalizes on this seeing and opts for the breezy and amateurish feel of an after school special on the subject of tolerance. 
Output:negative
Input:ever such a dependable horror was botched in execution 
Output:negative
","[14, 38, 51, 71, 84, 104, 123, 140, 160, 173, 198, 227, 254, 280, 313]","['Ġa', 'Ġclever', 'Ġbase', 'Ġclever', 'Ġdependable', 'Ġa', 'Ġthe', '-if', 'Ġforeign', 'Ġstale', 'Ġforeign', 'Ġforeign', 'Ġstale', 'Ġthis', 'Ġdependable']"
